,pub_time,title,url,views
0,2018-04-02 14:22:47,保险公司将利用区块链来保证医疗服务提供方信息准确性,http://www.8btc.com/insurers-will-study-blockchain-to-fix-their-provider-lists,192
1,2018-04-02 13:51:38,如果只能用ASIC挖以太坊，GPU怎么办,http://www.8btc.com/ethereum-mining-centralization,387
2,2018-04-02 11:36:03,G20会议加密货币监管议题的10点总结，7月将提交第一项具体监管提案,http://www.8btc.com/g20-an-sumary-with-10-topics,2220
3,2018-04-02 11:23:16,V神提出为以太坊总量设限，确保平台的经济可持续性,http://www.8btc.com/vitalik-cap-ether,1501
4,2018-04-02 11:12:46,白硕：交易所应持牌经营，中国具备监控比特币技术能力,http://www.8btc.com/baishuuo-exchange-china-can-regulate-bitcoin,1090
5,2018-04-02 11:07:34,全面监管加密货币的第一步：韩国将在6月公布征税规则,http://www.8btc.com/south-korean-crypto-tax,1504
6,2018-04-02 10:58:49,俄罗斯国有银行：在瑞士试点加密货币业务,http://www.8btc.com/russias-gazprombank-to,807
7,2018-04-02 10:36:46,中央党校陈建奇：比特币巨幅波动源于数字货币市场的无序性,http://www.8btc.com/central-party-school-chenjianqi-blockchain-bitcoin,870
8,2018-04-02 08:47:37,比特币不会死！华尔街分析师Tom Lee持续看好比特币,http://www.8btc.com/not-dead-bitcoin,3578
9,2018-04-02 07:18:44,解读法国对新兴加密货币的态度,http://www.8btc.com/frances-cryptocurrency-policy,1413
10,2018-04-01 18:16:53,中国银行前副行长王永利：不可混淆的货币“数量调控”逻辑,http://www.8btc.com/wangyongli-blockchain-currrency-regulation,3153
11,2018-04-01 18:06:05,IBM终于开始认真对待加密货币了,http://www.8btc.com/ibm-evolution-big-blue-finally-getting-serious-cryptocurrency,2613
12,2018-04-01 09:21:01,首尔的区块链化之路：将在4月份推出专属加密货币S coin,http://www.8btc.com/seoul-own-crypto,5692
13,2018-04-01 08:36:00,美国国税局的难题：BCH如何纳税,http://www.8btc.com/irs-bitcoin-cash-tax,2873
14,2018-04-01 07:28:40,根据搜索趋势了解现阶段的加密货币市场，比特币过气了？,http://www.8btc.com/cryptocurrency-interest,3590
15,2018-03-31 12:23:18,何宝宏：区块链颠覆不了世界，高喊去中心的是自己想成为新中心,http://www.8btc.com/iterative_technique,9387
16,2018-03-31 11:36:57,哈萨克斯坦央行：加密货币风险太高，理应禁止,http://www.8btc.com/kazakhstans-wants-ban-crypto,3602
17,2018-03-31 10:29:41,美国一市长候选人提议发行城市层面加密货币，为警力筹资,http://www.8btc.com/texas-mayoral-can,2048
18,2018-03-31 09:14:48,戴嘉乐：详解IPFS的本质、技术架构以及应用 ,http://www.8btc.com/ipfs-application,4511
19,2018-03-31 07:46:59,区块链项目频出：鱼目混珠与信任危机,http://www.8btc.com/blockchain-trust-2,3386
